User_ID,Gender,Age,Marital_Status,Monthly_Website_Activity,Browsed_Electronics_12Mo,Bought_Electronics_12Mo,Bought_Digital_Media_12Mo,Bought_Digital_Books,Payment_Method,eReader_Adoption,Average_Spend_Monthly
4168,F,44,S,9,Yes,No,Yes,No,Monthly Billing,Late Majority,23.67
2791,F,64,M,71,No,Yes,No,Yes,Website Account,Innovator,28.404
1303,M,41,S,1,Yes,Yes,Yes,No,Bank Transfer,Early Majority,40.239
3245,F,50,S,4,Yes,No,No,No,Website Account,Late Majority,14.202
1555,F,52,S,5,Yes,Yes,Yes,No,Credit Card,Late Majority,30.771
2498,M,62,M,2,Yes,No,Yes,No,Website Account,Late Majority,44.973
2197,F,60,M,4,Yes,Yes,Yes,Yes,Monthly Billing,Late Majority,16.569
2132,M,46,M,18,Yes,No,Yes,No,Credit Card,Early Adopter,7.101
7407,M,46,M,7,Yes,Yes,Yes,Yes,Monthly Billing,Early Majority,30.771
5902,M,17,M,8,Yes,Yes,Yes,Yes,Website Account,Early Majority,4.734
8029,F,28,M,9,Yes,No,Yes,No,Monthly Billing,Late Majority,18.936
6765,M,41,S,9,Yes,No,No,Yes,Bank Transfer,Early Adopter,18.936
4448,M,43,M,87,Yes,Yes,No,Yes,Website Account,Innovator,44.973
3981,F,33,S,6,Yes,Yes,Yes,No,,Late Majority,44.973
7796,M,44,M,24,Yes,Yes,Yes,Yes,,Early Adopter,4.734
1670,M,48,M,81,Yes,Yes,Yes,No,,Innovator,9.468
5464,F,38,S,27,Yes,Yes,Yes,Yes,,Innovator,47.34
2186,M,57,M,59,Yes,No,Yes,No,,Early Adopter,2.367
4217,M,45,S,10,Yes,No,Yes,No,,,40.239
7734,M,32,S,7,Yes,Yes,Yes,Yes,,Early Adopter,7.101
6589,M,51,M,10,Yes,Yes,Yes,No,Website Account,Late Majority,21.303
1367,F,40,M,18,Yes,Yes,Yes,Yes,Website Account,Innovator,47.34
6276,F,63,M,65,No,Yes,No,Yes,Website Account,Innovator,9.468
1807,F,50,S,2,Yes,Yes,No,Yes,Bank Transfer,Early Adopter,28.404
6206,M,16,M,8,Yes,No,Yes,No,Credit Card,Early Majority,21.303
2848,F,49,M,8,Yes,No,Yes,No,Bank Transfer,Late Majority,2.367
3477,F,45,M,0,Yes,Yes,Yes,Yes,Bank Transfer,Innovator,7.101
1337,F,62,M,21,No,Yes,Yes,No,Bank Transfer,Early Majority,18.936
1732,M,61,M,4,Yes,Yes,Yes,No,Monthly Billing,Late Majority,44.973
6141,M,47,S,24,Yes,No,No,Yes,Credit Card,Innovator,42.606
5800,M,44,M,22,Yes,No,No,No,Credit Card,Early Adopter,16.569
8820,F,46,S,1,Yes,Yes,No,No,Bank Transfer,Late Majority,33.138
3647,M,26,M,17,Yes,Yes,Yes,No,Website Account,Early Adopter,18.936
8662,F,35,S,28,Yes,Yes,No,No,Website Account,999,30.771
8623,F,29,S,2,Yes,No,Yes,No,Website Account,Late Majority,40.239
2791,F,49,M,24,No,Yes,Yes,No,Credit Card,Early Adopter,18.936
8249,F,56,S,6,Yes,No,Yes,No,Website Account,Late Majority,33.138
4302,F,22,M,27,Yes,Yes,Yes,No,Credit Card,Innovator,14.202
3209,F,48,M,2,Yes,Yes,Yes,No,Bank Transfer,Late Majority,18.936
8345,M,44,S,26,Yes,No,Yes,No,Website Account,Early Majority,11.835
8014,F,47,S,5,Yes,Yes,No,Yes,Credit Card,Early Adopter,35.505
4169,F,53,S,9,Yes,No,Yes,Yes,Credit Card,Early Majority,11.835
6180,F,53,M,3,Yes,No,Yes,Yes,Website Account,Early Adopter,2.367
2619,M,22,M,10,Yes,No,No,No,Monthly Billing,Early Majority,44.973
9767,F,34,S,30,Yes,Yes,Yes,No,Website Account,Early Adopter,42.606
2765,M,19,M,17,Yes,Yes,Yes,Yes,Website Account,Innovator,21.303
9202,M,24,M,22,Yes,No,Yes,No,Bank Transfer,Innovator,9.468
9899,M,54,M,10,Yes,No,Yes,Yes,Website Account,Early Majority,23.67
1645,M,41,M,10,Yes,Yes,Yes,No,Website Account,Late Majority,37.872
7708,M,65,S,30,Yes,Yes,Yes,Yes,Credit Card,Innovator,23.67
9232,M,56,S,-1,Yes,No,Yes,Yes,Bank Transfer,Early Majority,26.037
7751,F,56,S,28,Yes,No,No,Yes,Website Account,Early Adopter,7.101
9885,M,21,S,3,Yes,Yes,Yes,No,Bank Transfer,Early Majority,47.34
9553,M,57,S,27,Yes,Yes,Yes,Yes,Bank Transfer,Early Adopter,40.239
2556,F,17,S,10,Yes,No,Yes,Yes,Website Account,Early Adopter,47.34
6815,F,36,M,4,Yes,No,Yes,Yes,Bank Transfer,Early Adopter,35.505
7062,M,18,M,8,Yes,No,Yes,Yes,Monthly Billing,Early Adopter,21.303
3032,M,40,M,5,Yes,Yes,Yes,Yes,Bank Transfer,Early Majority,4.734
4254,F,27,M,22,Yes,Yes,Yes,Yes,Monthly Billing,Innovator,4.734
1587,M,27,M,29,No,No,Yes,No,Monthly Billing,Early Adopter,33.138
7606,F,58,S,20,Yes,Yes,Yes,No,Website Account,Early Majority,33.138
1773,F,26,S,19,Yes,No,Yes,Yes,Bank Transfer,Innovator,42.606
3727,F,45,M,8,Yes,No,Yes,Yes,Bank Transfer,Early Adopter,23.67
9726,F,43,M,10,Yes,Yes,Yes,Yes,Website Account,Early Majority,37.872
6560,M,48,S,87,Yes,Yes,Yes,Yes,Website Account,Innovator,26.037
9024,F,32,M,20,Yes,No,Yes,No,Website Account,Early Adopter,47.34
9646,F,26,M,10,Yes,No,Yes,Yes,Website Account,Early Majority,26.037
6810,F,55,S,7,Yes,No,Yes,No,Monthly Billing,Late Majority,18.936
8649,M,57,S,21,No,Yes,Yes,Yes,Bank Transfer,Early Adopter,44.973
9825,F,42,M,30,Yes,Yes,Yes,Yes,Credit Card,678,26.037
6327,M,1.5,S,5,Yes,Yes,Yes,Yes,Bank Transfer,Early Majority,7.101
1550,M,34,M,29,Yes,Yes,Yes,Yes,Monthly Billing,Innovator,44.973
2314,M,52,M,24,Yes,Yes,Yes,Yes,Credit Card,Innovator,2.367
7612,F,41,M,25,Yes,Yes,,No,Website Account,Early Majority,42.606
1164,M,53,S,22,Yes,No,,Yes,Monthly Billing,Early Adopter,2.367
7595,M,54,S,6,Yes,Yes,,Yes,Credit Card,Early Adopter,44.973
5671,F,25,M,2,Yes,Yes,,No,Bank Transfer,Early Majority,16.569
8332,F,61,S,100,Yes,No,,No,Bank Transfer,Early Adopter,14.202
5953,F,26,M,25,Yes,Yes,,No,Bank Transfer,Innovator,47.34
4443,M,55,M,68,Yes,No,,No,Bank Transfer,Innovator,26.037
3732,M,52,M,29,Yes,Yes,,No,Bank Transfer,Early Adopter,40.239
6715,M,48,S,29,Yes,Yes,,Yes,Website Account,Early Adopter,16.569
2490,F,44,M,23,Yes,Yes,,Yes,Monthly Billing,Early Adopter,30.771
2955,F,65,M,28,Yes,Yes,Yes,Yes,Bank Transfer,Innovator,40.239
6040,F,59,S,10,Yes,Yes,Yes,No,Bank Transfer,Late Majority,33.138
2884,F,39,M,-2,Yes,No,No,No,Monthly Billing,Late Majority,2.367
1763,F,35,M,8,Yes,No,Yes,Yes,Monthly Billing,Early Majority,16.569
6669,F,46,M,3,Yes,Yes,Yes,Yes,Website Account,Early Majority,26.037
3325,M,50,S,17,Yes,No,Yes,No,Website Account,Early Majority,37.872
8964,M,51,S,5,Yes,Yes,Yes,No,Bank Transfer,Late Majority,30.771
9434,F,51,S,19,Yes,Yes,No,No,Bank Transfer,Early Adopter,14.202
5301,M,47,M,5,Yes,No,Yes,Yes,Website Account,Early Majority,21.303
7310,F,57,M,1,Yes,No,Yes,Yes,Credit Card,Early Majority,47.34
3387,M,44,M,8,No,Yes,Yes,Yes,Website Account,Early Adopter,9.468
7036,M,53,S,2,Yes,Yes,Yes,Yes,Website Account,Early Adopter,47.34
6338,M,42,M,3,No,No,Yes,No,Monthly Billing,Late Majority,18.936
1410,M,55,M,25,Yes,Yes,Yes,Yes,Website Account,Early Majority,28.404
4301,M,59,M,-3,Yes,Yes,Yes,No,Credit Card,Late Majority,40.239
2956,F,54,S,7,Yes,No,Yes,Yes,Bank Transfer,Early Majority,30.771
7673,F,51,M,25,Yes,No,No,Yes,Credit Card,Innovator,4.734
5243,F,48,S,10,Yes,Yes,Yes,Yes,Website Account,Early Majority,23.67
6877,F,29,S,8,Yes,Yes,Yes,Yes,Monthly Billing,Early Adopter,35.505
6871,F,,M,21,Yes,Yes,No,Yes,Bank Transfer,Innovator,23.67
8343,F,37,M,1,Yes,No,No,Yes,Credit Card,Innovator,44.973
2661,F,51,S,5,Yes,No,Yes,No,Bank Transfer,Late Majority,18.936
1314,M,65,S,24,Yes,Yes,Yes,No,Website Account,Late Majority,30.771
2848,F,32,S,3,Yes,No,Yes,No,Monthly Billing,Late Majority,7.101
1129,M,59,S,6,Yes,No,No,No,Monthly Billing,Late Majority,14.202
3211,M,54,S,9,Yes,No,Yes,No,Bank Transfer,Late Majority,21.303
1681,M,18,S,2,No,Yes,No,Yes,Website Account,Early Adopter,30.771
5368,F,57,S,7,Yes,Yes,No,Yes,Bank Transfer,Early Adopter,23.67
7323,M,22,M,5,Yes,No,Yes,Yes,Bank Transfer,Early Adopter,7.101
7039,M,30,M,5,Yes,Yes,Yes,Yes,Credit Card,Early Adopter,33.138
4715,M,61,S,9,Yes,Yes,Yes,No,Credit Card,Late Majority,35.505
7730,,,,,,,,,Monthly Billing,Late Majority,11.835
8559,,,,,,,,,Website Account,Late Majority,4.734
3532,M,56,S,25,Yes,Yes,Yes,Yes,Website Account,Early Adopter,44.973
8475,M,24,M,26,Yes,Yes,Yes,No,Website Account,999,26.037
9204,M,61,S,2,Yes,No,Yes,Yes,Website Account,Early Majority,42.606
1737,M,43,M,4,Yes,No,Yes,Yes,Bank Transfer,Early Adopter,2.367
5435,M,49,S,4,Yes,Yes,Yes,Yes,Bank Transfer,Early Majority,14.202
2255,F,34,M,7,Yes,Yes,Yes,No,Website Account,Late Majority,23.67
8159,M,23,M,9,Yes,No,No,Yes,Bank Transfer,Early Adopter,2.367
7507,F,37,M,26,Yes,No,Yes,No,Monthly Billing,Early Adopter,23.67
4634,M,41,S,5,Yes,Yes,Yes,No,Website Account,Late Majority,4.734
8140,M,34,S,9,Yes,No,Yes,No,Monthly Billing,Late Majority,35.505
4854,M,61,M,10,Yes,Yes,Yes,Yes,Credit Card,Early Majority,26.037
9726,F,63,S,26,Yes,No,No,No,Bank Transfer,Early Majority,35.505
3834,F,20,S,30,No,No,Yes,No,Website Account,Early Adopter,14.202
8860,M,21,S,3,Yes,No,No,Yes,Website Account,Early Adopter,40.239
5568,F,38,M,3,Yes,Yes,Yes,No,Website Account,Late Majority,21.303
2966,M,57,M,2,Yes,Yes,No,Yes,Monthly Billing,Early Majority,33.138
4629,M,49,M,21,Yes,No,Yes,Yes,Website Account,Innovator,30.771
9220,F,30,M,17,Yes,No,Yes,No,Bank Transfer,Early Adopter,37.872
6525,F,34,M,6,Yes,Yes,Yes,Yes,Bank Transfer,Early Adopter,9.468
4145,M,q,M,20,Yes,No,Yes,No,Website Account,Early Majority,37.872
4614,M,58,M,8,No,Yes,No,No,Credit Card,Late Majority,42.606
3581,M,27,M,20,Yes,No,No,No,Bank Transfer,Innovator,37.872
8010,F,23,M,9,Yes,No,Yes,Yes,Bank Transfer,Innovator,30.771
4639,M,60,M,6,Yes,Yes,Yes,Yes,Bank Transfer,Early Adopter,44.973
8324,M,63,M,10,Yes,Yes,Yes,No,Website Account,Late Majority,21.303
4616,F,44,M,4,Yes,No,Yes,No,Bank Transfer,999,16.569
7273,F,53,S,2,Yes,Yes,Yes,No,Monthly Billing,Late Majority,42.606
7573,M,59,S,1,Yes,Yes,Yes,Yes,Website Account,Early Adopter,11.835
8991,M,,S,22,Yes,Yes,No,No,Credit Card,Innovator,21.303
5205,M,31,S,3,Yes,No,Yes,Yes,Monthly Billing,Early Adopter,28.404
3814,F,23,M,9,Yes,Yes,Yes,Yes,Website Account,Early Adopter,7.101
8232,M,51,S,80,Yes,Yes,No,No,Credit Card,Innovator,42.606
2987,F,32,M,10,Yes,Yes,Yes,No,Bank Transfer,Late Majority,28.404
9288,F,47,M,6,Yes,No,Yes,Yes,Website Account,Early Majority,26.037
3022,M,60,M,66,No,Yes,Yes,No,Website Account,Early Majority,21.303
3733,F,54,S,10,Yes,Yes,Yes,No,Monthly Billing,Late Majority,14.202
9981,M,63,S,6,Yes,No,No,No,Bank Transfer,Late Majority,35.505
1709,M,41,S,2,No,No,No,No,Monthly Billing,Late Majority,4.734
5938,M,61,M,1,Yes,No,Yes,No,Credit Card,Late Majority,30.771
8331,M,,M,9,Yes,Yes,Yes,No,Website Account,Late Majority,18.936
7631,F,35,S,82,Yes,No,No,No,Bank Transfer,Innovator,37.872
1159,F,56,M,67,Yes,Yes,Yes,No,Website Account,Early Adopter,2.367
7918,F,57,M,95,Yes,Yes,Yes,No,Monthly Billing,Early Adopter,26.037
8437,M,q,M,,,,,,,,
8180,M,56,M,,,,,,,,
4148,M,20,M,,,,,,,,
4438,F,63,S,8,Yes,No,Yes,No,Website Account,Late Majority,4.734
7065,M,34,M,9,Yes,No,Yes,Yes,Monthly Billing,Early Majority,2.367
9723,M,19,S,10,Yes,Yes,Yes,Yes,Bank Transfer,Early Adopter,37.872
9939,M,60,S,2,Yes,Yes,No,No,Bank Transfer,Late Majority,11.835
1210,F,50,S,5,Yes,Yes,Yes,No,Bank Transfer,Late Majority,42.606
8591,M,,S,27,Yes,No,No,No,Monthly Billing,Early Majority,14.202
3384,F,21,S,24,Yes,No,No,No,Website Account,Early Adopter,23.67
6117,M,20,M,7,Yes,No,Yes,No,Monthly Billing,Early Majority,42.606
7683,F,42,M,1,Yes,No,Yes,Yes,Website Account,Early Adopter,21.303
5759,M,57,M,4,Yes,No,Yes,Yes,Credit Card,Early Majority,16.569
6260,F,43,S,68,Yes,Yes,Yes,No,Monthly Billing,Early Adopter,4.734
4921,M,37,M,4,Yes,Yes,No,No,Bank Transfer,Late Majority,18.936
3736,M,26,S,4,Yes,No,No,No,Credit Card,Late Majority,2.367
9458,F,26,S,5,No,No,No,Yes,Website Account,Early Adopter,40.239
1779,M,46,S,9,No,Yes,Yes,No,Bank Transfer,Late Majority,4.734
4633,F,62,S,65,Yes,No,No,No,Website Account,Early Majority,7.101
8916,M,54,S,30,No,Yes,Yes,Yes,Monthly Billing,8890,40.239
2542,F,19,M,10,Yes,Yes,Yes,No,Credit Card,Early Majority,37.872
3530,M,51,M,5,Yes,Yes,No,Yes,Monthly Billing,Early Adopter,35.505
5465,F,33,M,20,Yes,No,Yes,No,Website Account,Early Adopter,47.34
7465,M,55,M,3,Yes,Yes,Yes,No,Bank Transfer,Late Majority,14.202
7371,M,25,M,20,Yes,Yes,Yes,Yes,Website Account,Innovator,11.835
6377,M,19,S,17,Yes,No,Yes,No,Bank Transfer,Early Adopter,37.872
7915,F,25,M,6,Yes,No,Yes,Yes,Credit Card,Early Majority,9.468
8580,F,29,M,9,Yes,No,No,No,Bank Transfer,Late Majority,14.202
2769,F,52,S,2,Yes,No,No,No,Website Account,Late Majority,2.367
8545,M,24,M,6,No,Yes,Yes,Yes,Bank Transfer,Early Majority,21.303
9598,M,66,M,25,Yes,No,Yes,Yes,Bank Transfer,Early Majority,37.872
9096,M,17,M,2,Yes,Yes,Yes,No,Website Account,Early Majority,23.67
7264,M,51,M,73,Yes,Yes,Yes,No,Website Account,Early Adopter,4.734
4824,M,30,S,4,Yes,Yes,No,No,Bank Transfer,Late Majority,18.936
1743,M,60,M,8,Yes,No,Yes,No,Website Account,Late Majority,23.67
6546,M,45,M,3,Yes,Yes,Yes,Yes,Bank Transfer,Early Adopter,7.101
6865,F,65,M,7,Yes,Yes,Yes,No,Bank Transfer,Late Majority,42.606
2308,M,17,M,7,Yes,Yes,Yes,Yes,Bank Transfer,Early Adopter,47.34
1302,M,17,M,2,Yes,Yes,Yes,Yes,Bank Transfer,Innovator,30.771
8989,F,38,M,2,Yes,No,Yes,Yes,Bank Transfer,Early Adopter,21.303
6016,M,49,S,8,No,Yes,Yes,Yes,Website Account,Early Adopter,21.303
3616,M,30,S,9,Yes,Yes,Yes,Yes,Credit Card,Early Majority,23.67
9673,M,27,S,1,Yes,Yes,Yes,Yes,Bank Transfer,Early Adopter,26.037
2488,F,36,S,3,Yes,No,Yes,Yes,Monthly Billing,Early Adopter,9.468
1890,F,57,S,28,Yes,No,Yes,Yes,Bank Transfer,Innovator,26.037
2968,M,38,S,64,Yes,No,Yes,No,Credit Card,Innovator,28.404
2840,F,37,S,3,Yes,Yes,Yes,No,Bank Transfer,Late Majority,35.505
5882,F,22,M,17,Yes,Yes,No,Yes,Credit Card,Innovator,18.936
7123,F,53,M,5,Yes,No,Yes,No,Monthly Billing,Late Majority,4.734
4981,M,62,M,23,Yes,Yes,Yes,No,Bank Transfer,Early Majority,1004.202
2525,M,52,S,100,Yes,Yes,Yes,No,Credit Card,Early Adopter,37.872
6530,F,45,M,27,Yes,Yes,No,Yes,Bank Transfer,Early Adopter,47.34
5711,M,59,M,22,Yes,Yes,Yes,No,Credit Card,Early Majority,23.67
2966,F,35,M,10,Yes,No,Yes,Yes,Bank Transfer,Early Majority,2.367
1070,M,33,M,1,No,No,Yes,No,Monthly Billing,Late Majority,
4148,M,62,M,4,Yes,Yes,No,No,Credit Card,Late Majority,
8123,F,31,S,9,Yes,Yes,Yes,No,Bank Transfer,Late Majority,
9559,M,52,S,10,Yes,Yes,Yes,Yes,Monthly Billing,Early Majority,
5880,F,27,M,2,Yes,Yes,Yes,Yes,Monthly Billing,Early Majority,
6637,M,60,M,50,Yes,No,Yes,No,Website Account,Early Majority,
4382,M,42,S,10,Yes,No,Yes,No,Bank Transfer,Late Majority,
8250,F,36,S,3,Yes,No,Yes,Yes,Bank Transfer,Early Adopter,
5898,F,26,M,9,Yes,No,Yes,No,Website Account,Late Majority,
5857,M,34,M,21,Yes,No,No,No,Website Account,Early Adopter,
9764,F,44,M,10,Yes,Yes,Yes,No,Monthly Billing,Late Majority,
